Field,Type,Null,Key,Default,Extra
roll_no,varchar(10),NO,PRI,NULL,
room_prf1,"enum('AC: Triple Seater','NON AC: Single Seater','NON AC: Double Seater','NON AC: Triple Seater')",NO,,NULL,
room_prf2,"enum('AC: Triple Seater','NON AC: Single Seater','NON AC: Double Seater','NON AC: Triple Seater')",NO,,NULL,
room_prf3,"enum('AC: Triple Seater','NON AC: Single Seater','NON AC: Double Seater','NON AC: Triple Seater')",NO,,NULL,
room_prf4,"enum('AC: Triple Seater','NON AC: Single Seater','NON AC: Double Seater','NON AC: Triple Seater')",NO,,NULL,
partner1_roll,varchar(10),YES,,NULL,
partner1_name,varchar(100),YES,,NULL,
partner2_roll,varchar(10),YES,,NULL,
partner2_name,varchar(100),YES,,NULL,
bld_grp,varchar(5),NO,,NULL,
fd_choice,"enum('Veg','Non-veg')",NO,,NULL,
adm_region,"enum('Delhi','Outside Delhi','DASA')",NO,,NULL,
chronic_prob,varchar(100),YES,,NULL,
staying_hostel,"enum('Yes','No')",NO,,NULL,
